session,row,mode,sigma_target,achieved_delta_rms,achieved_delta_max,achieved_delta_p95,fraction_changed,fraction_clipped,score_baseline,score_perturbed,delta_score
D2,1583,B_phase_g_input,0.5,0.3516335189342499,1.0,0.6509804129600525,0.9724227057562934,0.3617379930284288,0.0037835534079931677,0.0059805036755278705,0.0021969502675347028
D2,1583,C_binder_resolution,0.1,0.05387822166085243,0.31916964054107666,0.1060866117477417,0.8440199957953559,0.019819895426432293,0.0037835534079931677,0.003853726090164855,7.017268217168748e-05
D2,1583,C_binder_resolution,0.3,0.1555059552192688,0.7515243291854858,0.30472785234451294,0.9400528801812066,0.06788465711805555,0.0037835534079931677,0.004264641855843365,0.00048108844785019764
D2,1583,C_binder_resolution,0.5,0.23986773192882538,1.0,0.46339863538742065,0.959061516655816,0.15536583794487846,0.0037835534079931677,0.004812748060794547,0.0010291946528013791
D2,1600,A_rendered,0.1,0.048326339572668076,0.2637580335140228,0.09514524042606354,0.8285954793294271,0.017709520128038194,0.003615893854293972,0.0036699843942187725,5.409053992480031e-05
D2,1600,A_rendered,0.3,0.14062932133674622,0.7576269507408142,0.2758384048938751,0.9353756374782987,0.057657877604166664,0.003615893854293972,0.0040260168025270104,0.0004101229482330383
D2,1600,A_rendered,0.5,0.21992968022823334,1.0,0.426741361618042,0.9567985534667969,0.13048214382595485,0.003615893854293972,0.00453274273313582,0.0009168488788418474
D2,1600,B_phase_g_input,0.1,0.09780047088861465,0.4899466335773468,0.1921709179878235,0.9106356302897135,0.034163581000434026,0.003615893854293972,0.003825280861929059,0.0002093870076350867
D2,1600,B_phase_g_input,0.3,0.257671982049942,1.0,0.4958142340183258,0.9630393981933594,0.18146726820203993,0.003615893854293972,0.004882732866099105,0.0012668390118051325
D2,1600,B_phase_g_input,0.5,0.3516806960105896,1.0,0.6516605019569397,0.9735399881998698,0.36154259575737846,0.003615893854293972,0.005853499658405781,0.002237605804111809
D2,1600,C_binder_resolution,0.1,0.05389845743775368,0.28794988989830017,0.10606920719146729,0.8451148139105903,0.019114176432291668,0.003615893854293972,0.003686363936867565,7.047008257359292e-05
